imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,background_3.started,textbox.started,background_3.stopped,textbox.stopped,feedback.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
same/092_C2_DV.jpg,left,same,0,0,0,8,4.4058423999813385,,0.004771499952767044,0.05721020000055432,0.05721020000055432,0.05721020000055432,4.273042399960104,4.3176073000067845,4.4058423999813385,4.4058423999813385,4.4058423999813385,4.4058423999813385,6.260350099997595,right,0,1.8443378999945708,None,6.260844699980225,6.272994400002062,6.272994400002062,7.339910199982114,7.339910199982114,7.260482999961823,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/085_C2_DV.jpg,left,same,0,1,1,7,7.339910199982114,,,,,,,7.260748200002126,7.339910199982114,7.339910199982114,7.339910199982114,7.339910199982114,7.3943771999911405,left,1,0.046277199988253415,None,7.394677699950989,7.420016599993687,7.420016599993687,,,8.407076600007713,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/116_067_R.jpg,right,different,0,2,2,30,8.474024399998598,,,,,,,8.407318099983968,8.474024399998598,8.474024399998598,8.474024399998598,8.474024399998598,9.368274699954782,left,0,0.8882182000088505,None,9.368577799992636,9.380668499972671,9.380668499972671,10.394379000004847,10.394379000004847,10.368158099998254,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/077_133_R.jpg,right,different,0,3,3,25,10.394379000004847,,,,,,,10.368386499991175,10.394379000004847,10.394379000004847,10.394379000004847,10.394379000004847,11.38233140000375,right,1,0.9755489000235684,None,11.382661199953873,11.394792799954303,11.394792799954303,12.408633399987593,12.408633399987593,12.382253199990373,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/261_254_L.jpg,right,different,0,4,4,36,12.408633399987593,,,,,,,12.382529199996497,12.408633399987593,12.408633399987593,12.408633399987593,12.408633399987593,13.049459400004707,right,1,0.6337892999872565,None,13.049762999988161,13.062032599991653,13.062032599991653,14.089256499952171,14.089256499952171,14.049559100007173,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/303_037_R.jpg,right,different,0,5,5,39,14.089256499952171,,,,,,,14.049809999996796,14.089256499952171,14.089256499952171,14.089256499952171,14.089256499952171,15.517011599964462,right,1,1.4172276000026613,None,15.517332799965516,15.529665099980775,15.529665099980775,16.58334129996365,16.58334129996365,16.517158399976324,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/068_C2_DV.jpg,left,same,0,6,6,2,16.58334129996365,,,,,,,16.517383400001563,16.58334129996365,16.58334129996365,16.58334129996365,16.58334129996365,17.17128979996778,right,0,0.5867119999602437,None,17.17159379995428,17.18360369995935,17.18360369995935,18.210666799976025,18.210666799976025,18.171029299963266,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/115_C2_DV.jpg,left,same,0,7,7,11,18.210666799976025,,,,,,,18.171270399994683,18.210666799976025,18.210666799976025,18.210666799976025,18.210666799976025,18.611673199979123,right,0,0.3995147999958135,None,18.612006399955135,18.62417159997858,18.62417159997858,19.65124089998426,19.65124089998426,19.61166910000611,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/235_C2_DV.jpg,left,same,0,8,8,18,19.65124089998426,,,,,,,19.611920499999542,19.65124089998426,19.65124089998426,19.65124089998426,19.65124089998426,21.039118299959227,right,0,1.3752300000051036,None,21.039449199975934,21.05173859995557,21.05173859995557,22.105432999960613,22.105432999960613,22.039186499954667,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/254_287_L.jpg,right,different,0,9,9,35,22.105432999960613,,,,,,,22.039428399992175,22.105432999960613,22.105432999960613,22.105432999960613,22.105432999960613,23.06655419996241,right,1,0.9525671000010334,None,23.06685030000517,23.079158199951053,23.079158199951053,24.1328631999786,24.1328631999786,24.066600599966478,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/108_DV_C2.jpg,left,same,0,10,10,10,24.1328631999786,,,,,,,24.066843699954916,24.1328631999786,24.1328631999786,24.1328631999786,24.1328631999786,27.14805580000393,right,0,3.013193999999203,None,27.148382199986372,27.160693099955097,27.160693099955097,28.20101469999645,28.20101469999645,28.14821839996148,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/013_235_R.jpg,right,different,0,11,11,20,28.20101469999645,,,,,,,28.14846989995567,28.20101469999645,28.20101469999645,28.20101469999645,28.20101469999645,28.828637600003276,right,1,0.6175683999899775,None,28.828952399955597,28.841330699971877,28.841330699971877,29.894993799971417,29.894993799971417,29.828805600001942,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/081_C2_DV.jpg,left,same,0,12,12,6,29.894993799971417,,,,,,,29.82911559997592,29.894993799971417,29.894993799971417,29.894993799971417,29.894993799971417,31.469863899983466,right,0,1.5634429999627173,None,31.470195200003218,31.48231059999671,31.48231059999671,32.52268319996074,32.52268319996074,32.46978859999217,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/049_218_L.jpg,right,different,0,13,13,23,32.52268319996074,,,,,,,32.47004190000007,32.52268319996074,32.52268319996074,32.52268319996074,32.52268319996074,33.1770225999644,right,1,0.6478084999835119,None,33.17737930000294,33.18962530000135,33.18962530000135,34.20333289995324,34.20333289995324,34.177067299955525,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
different/076_109_R.jpg,right,different,0,14,14,24,34.20333289995324,,,,,,,34.17731519998051,34.20333289995324,34.20333289995324,34.20333289995324,34.20333289995324,35.0710521999863,right,1,0.8551068999804556,None,35.07136319996789,35.083639999968,35.083639999968,36.15075579995755,36.15075579995755,36.07105619995855,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
same/025_C2_DV.jpg,left,same,0,15,15,1,36.15075579995755,,,,,,,36.07128939998802,36.15075579995755,36.15075579995755,36.15075579995755,36.15075579995755,37.27194969996344,right,0,1.1158270000014454,None,37.27228430000832,37.28449659998296,37.28449659998296,38.32485639996594,38.32485639996594,38.27190559997689,001,4,2024-03-26_13h19.03.910,GFMT_short,2023.2.3,74.8899305321556,2024-03-26 13h19.17.304720 -0300,
,,,,,,,38.32485639996594,,,,,,,38.27213789999951,38.32485639996594,38.32485639996594,38.32485639996594,38.32485639996594,,,,,,,,,,,,,,,,,,,
