Instructions.started,Instructions.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,corrAns,sameOrDiff
0.0007,26.4749,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,,,,,,,,,,,,,,,,
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,26.5244,40.2427,left,1,13.6474,,40.2629,41.2444,0,0,0,4,1,same/235_C2_DV.jpg,left,same
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,41.2452,42.6715,right,1,1.3952,,42.6722,43.6767,0,1,1,7,1,different/019_074_L.jpg,right,different
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,43.677,46.3709,left,1,2.6638,,46.3717,47.3739,0,2,2,2,1,same/168_C2_DV.jpg,left,same
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,47.3746,51.902,right,1,4.4862,,51.9021,52.8974,0,3,3,6,1,different/013_235_R.jpg,right,different
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,52.8979,55.3958,left,1,2.4645,,55.396,56.3943,0,4,4,3,1,same/170_DV_C2.jpg,left,same
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,56.3947,59.4111,left,0,2.9847,,59.4114,60.4019,0,5,5,10,1,different/076_109_R.jpg,right,different
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,60.4042,64.8586,right,0,4.4115,,64.8588,65.8605,0,6,6,5,1,same/303_DV_C2.jpg,left,same
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,65.861,68.9439,right,0,3.0395,,68.944,69.9363,0,7,7,1,1,same/139_DV_C2.jpg,left,same
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,69.937,79.0263,left,0,9.0516,,79.0263,80.0208,0,8,8,9,1,different/049_218_L.jpg,right,different
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,80.0234,84.2209,left,1,4.1631,,84.2211,85.2188,0,9,9,0,1,same/136_C2_DV.jpg,left,same
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,85.2193,86.7702,right,1,1.5256,,86.7703,87.7643,0,10,10,8,1,different/025_235_L.jpg,right,different
,,,001,2023-10-22_17h26.22.059,glasgow_face_matching,2023.2.2,Win32,59.94844434,87.7651,89.2451,right,1,1.4417,,89.2454,90.236,0,11,11,11,1,different/077_133_R.jpg,right,different