title,language,condition,prompt,audioPrompt,txtInstructions,videoInstructions,reminder
NAME THE WORDS!,en,category,ANIMALS,stimuli/animals-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that fit within a certain category. These words can start with any letter. We will show you an example with the category “office supplies”, but you could be asked to say words within other categories. Similar words with different endings (“pen” and “pens”) will only count as 1 response unless they refer to a different object (“pencil”).

After you press BEGIN, you will be given a category and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-category-en.mp4,Keep trying…
NAME THE WORDS!,en,category,CLOTHING,stimuli/clothing-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that fit within a certain category. These words can start with any letter. We will show you an example with the category “office supplies”, but you could be asked to say words within other categories. Similar words with different endings (“pen” and “pens”) will only count as 1 response unless they refer to a different object (“pencil”).

After you press BEGIN, you will be given a category and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-category-en.mp4,Keep trying…
NAME THE WORDS!,en,category,FRUITS,stimuli/fruits-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that fit within a certain category. These words can start with any letter. We will show you an example with the category “office supplies”, but you could be asked to say words within other categories. Similar words with different endings (“pen” and “pens”) will only count as 1 response unless they refer to a different object (“pencil”).

After you press BEGIN, you will be given a category and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-category-en.mp4,Keep trying…
NAME THE WORDS!,en,category,VEGETABLES,stimuli/vegetables-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that fit within a certain category. These words can start with any letter. We will show you an example with the category “office supplies”, but you could be asked to say words within other categories. Similar words with different endings (“pen” and “pens”) will only count as 1 response unless they refer to a different object (“pencil”).

After you press BEGIN, you will be given a category and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-category-en.mp4,Keep trying…
NAME THE WORDS!,en,category,MUSICAL INSTRUMENTS,stimuli/musical instruments-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that fit within a certain category. These words can start with any letter. We will show you an example with the category “office supplies”, but you could be asked to say words within other categories. Similar words with different endings (“pen” and “pens”) will only count as 1 response unless they refer to a different object (“pencil”).

After you press BEGIN, you will be given a category and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-category-en.mp4,Keep trying…
NAME THE WORDS!,en,category,FURNITURE,stimuli/furniture-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that fit within a certain category. These words can start with any letter. We will show you an example with the category “office supplies”, but you could be asked to say words within other categories. Similar words with different endings (“pen” and “pens”) will only count as 1 response unless they refer to a different object (“pencil”).

After you press BEGIN, you will be given a category and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-category-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,A,stimuli/A-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,B,stimuli/B-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,C,stimuli/C-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,D,stimuli/D-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,E,stimuli/E-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,F,stimuli/F-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,G,stimuli/G-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,H,stimuli/H-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,I,stimuli/I-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,J,stimuli/J-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,K,stimuli/K-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,L,stimuli/L-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,M,stimuli/M-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,N,stimuli/N-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,O,stimuli/O-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,P,stimuli/P-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,Q,stimuli/Q-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,R,stimuli/R-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,S,stimuli/S-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,T,stimuli/T-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,U,stimuli/U-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,V,stimuli/V-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,W,stimuli/W-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,X,stimuli/X-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,Y,stimuli/Y-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
NAME THE WORDS!,en,letter,Z,stimuli/Z-en.wav,"INSTRUCTIONS

We would now like you to say out loud all the words that you can think of that begin with a letter of the alphabet. We will show you an example with the letter “Z”, but you could be asked to say words starting with other letters. You cannot say names of people (“Zelda”), places (“Zurich”), or numbers (“zero”). Similar words with different endings (“zoo” and “zoos”) will only count as 1 response. Compound words (“zookeeper”) are acceptable.

After you press BEGIN, you will be given a letter and you can begin speaking once the green, flashing microphone appears. The task will last for 1 minute, and you should keep trying to think of new words during that time. You cannot use external sources to come up with words. Your time is up when the microphone turns red and stops flashing.

Press BEGIN to start the task.",stimuli/instructions-letter-en.mp4,Keep trying…
TROUVEZ LES MOTS!,fr,category,ANIMAUX,stimuli/animaux-fr.wav,"INSTRUCTIONS

Nous allons vous demander de dire à voix haute tous les mots auxquels vous pensez et qui correspondent à une catégorie. Ces mots peuvent commencer par n'importe quelle lettre. Nous allons faire un exemple avec la catégorie « fournitures de bureau », mais vous pourrez être invité à dire des mots dans d'autres catégories. Des mots similaires avec des terminaisons différentes (« stylo » et « stylos ») ne compteront que pour 1 réponse, sauf s'ils font référence à un objet différent (« stylo-feutre »).

Après avoir appuyé sur DÉBUTER, vous entendrez une catégorie et vous pourrez commencer à parler lorsque le microphone vert clignotant apparaîtra. La tâche durera 1 minute et vous devrez continuer à essayer de penser à de nouveaux mots pendant ce temps. Vous ne pouvez pas utiliser des sources externes pour trouver des mots. Votre temps est écoulé lorsque le microphone devient rouge et cesse de clignoter.

Appuyez sur DÉBUTER pour démarrer la tâche.",stimuli/instructions-category-fr.mp4,Continuez…
TROUVEZ LES MOTS!,fr,category,VÊTEMENTS,stimuli/vêtements-fr.wav,"INSTRUCTIONS

Nous allons vous demander de dire à voix haute tous les mots auxquels vous pensez et qui correspondent à une catégorie. Ces mots peuvent commencer par n'importe quelle lettre. Nous allons faire un exemple avec la catégorie « fournitures de bureau », mais vous pourrez être invité à dire des mots dans d'autres catégories. Des mots similaires avec des terminaisons différentes (« stylo » et « stylos ») ne compteront que pour 1 réponse, sauf s'ils font référence à un objet différent (« stylo-feutre »).

Après avoir appuyé sur DÉBUTER, vous entendrez une catégorie et vous pourrez commencer à parler lorsque le microphone vert clignotant apparaîtra. La tâche durera 1 minute et vous devrez continuer à essayer de penser à de nouveaux mots pendant ce temps. Vous ne pouvez pas utiliser des sources externes pour trouver des mots. Votre temps est écoulé lorsque le microphone devient rouge et cesse de clignoter.

Appuyez sur DÉBUTER pour démarrer la tâche.",stimuli/instructions-category-fr.mp4,Continuez…
